id,name,calories,proteins,fat,carbohydrate,is_energizing,is_relaxing,is_focusing,primary_mood,calorie_category,protein_category,fat_category,carb_category,nutrient_balance,vitamin_a,vitamin_c,vitamin_b,iron,calcium,has_recipe,calorie_category_num,protein_category_num,fat_category_num,carb_category_num,nutrient_balance_num,mood_energizing,mood_focusing,mood_relaxing,mood_uncategorized
16,Anggur hutan segar,0.031914893617021274,0.006024096385542169,0.002,0.010510046367851623,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
17,Angsa,0.37659574468085105,0.19759036144578312,0.315,0.0,0,0,1,focusing,medium,medium,high,,high_fat,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,0.6666666666666667,1.0,,0.5,False,True,False,False
18,Anyang sayur,0.13404255319148936,0.04096385542168675,0.079,0.015919629057187017,0,1,0,relaxing,low,very_low,low,very_low,high_fat,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.5,False,False,True,False
19,Apel,0.06170212765957447,0.0036144578313253013,0.004,0.02302936630602782,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
20,Apel malang segar,0.06063829787234043,0.006024096385542169,0.004,0.019783616692426585,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
21,Arbei,0.039361702127659576,0.00963855421686747,0.005,0.012828438948995364,0,1,0,relaxing,very_low,very_low,very_low,very_low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25,False,False,True,False
22,Ares sayur,0.12021276595744682,0.010843373493975905,0.07200000000000001,0.01731066460587326,0,1,0,relaxing,low,very_low,low,very_low,high_fat,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.5,False,False,True,False
23,Arrowroot segar,0.10851063829787234,0.012048192771084338,0.002,0.03724884080370943,0,1,0,relaxing,low,very_low,very_low,low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.25,False,False,True,False
24,Arwan sirsir,0.2946808510638298,0.02891566265060241,0.25,0.016537867078825347,0,0,0,uncategorized,medium,very_low,medium,very_low,high_fat,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,0.0,0.6666666666666667,0.0,0.5,False,False,False,True
25,Asam kandis segar,0.0797872340425532,0.0024096385542168677,0.011000000000000001,0.024884080370942814,0,1,0,relaxing,very_low,very_low,very_low,low,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.3333333333333333,0.25,False,False,True,False
26,Asam masak di pohon,0.2542553191489362,0.033734939759036145,0.006,0.09659969088098917,0,0,0,uncategorized,medium,very_low,very_low,high,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,0.0,0.0,1.0,0.25,False,False,False,True
27,Asam payak segar,0.14361702127659576,0.00963855421686747,0.004,0.04961360123647605,0,1,0,relaxing,low,very_low,very_low,medium,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.0,0.0,0.6666666666666667,0.25,False,False,True,False
28,Asan kandis kering,0.2776595744680851,0.010843373493975905,0.016,0.09783616692426583,0,0,0,uncategorized,medium,very_low,very_low,high,high_carb,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,0.0,0.0,1.0,0.25,False,False,False,True
29,Asinan Bogor sayuran,0.10425531914893617,0.046987951807228916,0.026000000000000002,0.02287480680061824,0,1,0,relaxing,very_low,very_low,very_low,very_low,balanced,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,False,False,True,False
30,Ayam,0.32127659574468087,0.21927710843373494,0.25,0.0,0,0,1,focusing,medium,medium,medium,,high_fat,0.0,0.0,0.0,0.0,0.0,1,0.6666666666666667,0.6666666666666667,0.6666666666666667,,0.5,False,True,False,False
31,Ayam  goreng Kentuckysayap,0.3159574468085106,0.43253012048192774,0.152,0.002472952086553323,0,0,1,focusing,medium,high,medium,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,1,0.6666666666666667,1.0,0.6666666666666667,0.0,0.75,False,True,False,False
32,Ayam ampela goreng,0.2872340425531915,0.38915662650602406,0.11199999999999999,0.015301391035548687,0,0,1,focusing,medium,high,low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,1,0.6666666666666667,1.0,0.3333333333333333,0.0,0.75,False,True,False,False
33,Ayam dideh/darah segar,0.0797872340425532,0.16626506024096388,0.019,0.0010819165378670788,0,0,0,uncategorized,very_low,low,very_low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333333333333333,0.0,0.0,0.75,False,False,False,True
34,Ayam goreng church texa sayap,0.31382978723404253,0.4096385542168675,0.16,0.00231839258114374,0,0,1,focusing,medium,high,medium,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,1.0,0.6666666666666667,0.0,0.75,False,True,False,False
35,Ayam goreng church texas dada,0.3595744680851064,0.4240963855421687,0.20600000000000002,0.0006182380216383308,0,0,1,focusing,medium,high,medium,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,1.0,0.6666666666666667,0.0,0.75,False,True,False,False
36,Ayam goreng kalasan paha,0.2925531914893617,0.45060240963855425,0.122,0.002009273570324575,0,0,1,focusing,medium,high,low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,1,0.6666666666666667,1.0,0.3333333333333333,0.0,0.75,False,True,False,False
37,Ayam goreng kentucky dada,0.3170212765957447,0.4120481927710844,0.168,0.0001545595054095827,0,0,1,focusing,medium,high,medium,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,1,0.6666666666666667,1.0,0.6666666666666667,0.0,0.75,False,True,False,False
38,Ayam goreng Kentucky paha,0.30425531914893617,0.3867469879518073,0.161,0.0017001545595054096,0,0,1,focusing,medium,high,medium,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,1,0.6666666666666667,1.0,0.6666666666666667,0.0,0.75,False,True,False,False
39,Ayam goreng mbok berek dada,0.31382978723404253,0.47228915662650606,0.136,0.0015455950540958269,0,0,1,focusing,medium,high,low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,0,0.6666666666666667,1.0,0.3333333333333333,0.0,0.75,False,True,False,False
40,Ayam goreng paha,0.30531914893617024,0.3734939759036145,0.157,0.0026275115919629057,0,0,1,focusing,medium,high,medium,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,1,0.6666666666666667,1.0,0.6666666666666667,0.0,0.75,False,True,False,False
41,Ayam goreng pasundan dada,0.26170212765957446,0.4566265060240964,0.09,0.0010819165378670788,0,0,1,focusing,medium,high,low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,1,0.6666666666666667,1.0,0.3333333333333333,0.0,0.75,False,True,False,False
42,Ayam goreng pasundan paha,0.26063829787234044,0.3987951807228916,0.114,0.00046367851622874804,0,0,1,focusing,medium,high,low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,1,0.6666666666666667,1.0,0.3333333333333333,0.0,0.75,False,True,False,False
43,Ayam goreng pioneer dada,0.31382978723404253,0.45060240963855425,0.147,0.0009273570324574961,0,0,1,focusing,medium,high,low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,1,0.6666666666666667,1.0,0.3333333333333333,0.0,0.75,False,True,False,False
44,Ayam goreng sukabumi dada,0.25957446808510637,0.4421686746987952,0.092,0.0015455950540958269,0,0,1,focusing,medium,high,low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,1,0.6666666666666667,1.0,0.3333333333333333,0.0,0.75,False,True,False,False
45,Ayam goreng sukabumi paha,0.30106382978723406,0.4301204819277109,0.14300000000000002,0.0007727975270479134,0,0,1,focusing,medium,high,low,very_low,high_protein,0.0,0.0,0.0,0.0,0.0,1,0.6666666666666667,1.0,0.3333333333333333,0.0,0.75,False,True,False,False
